api_2gram,frequency
SystemParametersInfoA->SetMenuItemInfoW,1
SetMenuItemInfoW->ReleaseDC,1
InvalidateRect->SwitchToThisWindow,1
SwitchToThisWindow->KillTimer,1
KillTimer->keybd_event,1
keybd_event->CheckRadioButton,1
CheckRadioButton->IsRectEmpty,1
IsRectEmpty->IsCharAlphaNumericW,1
IsCharAlphaNumericW->DrawMenuBar,1
DrawMenuBar->TabbedTextOutW,1
TabbedTextOutW->GetDCEx,1
GetDCEx->SetWindowRgn,1
SetWindowRgn->DestroyAcceleratorTable,1
DestroyAcceleratorTable->SetPropW,1
SetPropW->PtInRect,1
PtInRect->SetUserObjectInformationW,1
SetUserObjectInformationW->PeekMessageA,1
PeekMessageA->CharToOemW,1
CharToOemW->InflateRect,1
InflateRect->DrawIcon,1
DrawFrameControl->GetNextDlgGroupItem,1
GetNextDlgGroupItem->SendInput,1
SendInput->DefFrameProcA,1
DefFrameProcA->DefWindowProcA,1
DefWindowProcA->DialogBoxParamA,1
DialogBoxParamA->RegisterClassA,1
RegisterClassA->CopyAcceleratorTableW,1
CopyAcceleratorTableW->GetSystemMenu,1
GetSystemMenu->DrawStateW,1
DrawStateW->FindWindowA,1
FindWindowA->CreateWindowExA,1
CreateWindowExA->EnableWindow,1
EnableWindow->CharUpperW,1
CharUpperW->RegisterHotKey,1
RegisterHotKey->AdjustWindowRectEx,1
AdjustWindowRectEx->MessageBoxW,1
MessageBoxW->MessageBoxExA,1
MessageBoxExA->GetTopWindow,1
GetTopWindow->SetMenu,1
SetMenu->FindWindowExA,1
FindWindowExA->LoadMenuA,1
LoadMenuA->MessageBoxA,1
MessageBoxA->EqualRect,1
EqualRect->ToUnicodeEx,1
ToUnicodeEx->GetWindowTextLengthW,1
GetWindowTextLengthW->TileWindows,1
TileWindows->GetClipCursor,1
GetClipCursor->MapDialogRect,1
MapDialogRect->LoadStringA,1
LoadStringA->HiliteMenuItem,1
HiliteMenuItem->GetMenuItemCount,1
GetMenuItemCount->LookupIconIdFromDirectory,1
LookupIconIdFromDirectory->IntersectRect,1
IntersectRect->GetDoubleClickTime,1
GetDoubleClickTime->GetKeyboardType,1
GetKeyboardType->GetAsyncKeyState,1
GetAsyncKeyState->CharLowerBuffW,1
CharLowerBuffW->DialogBoxParamW,1
DialogBoxParamW->CharLowerW,1
CharLowerW->ChangeMenuW,1
ChangeMenuW->LockWindowUpdate,1
LockWindowUpdate->IsWindow,1
IsWindow->MapVirtualKeyExW,1
MapVirtualKeyExW->SetRectEmpty,1
SetRectEmpty->GetClassLongA,1
GetClassLongA->MapWindowPoints,1
MapWindowPoints->TranslateAcceleratorA,1
TranslateAcceleratorA->CheckMenuRadioItem,1
CheckMenuRadioItem->SetScrollInfo,1
SetScrollInfo->AllowSetForegroundWindow,1
AllowSetForegroundWindow->DispatchMessageA,1
DispatchMessageA->CharNextW,1
CharNextW->FrameRect,1
FrameRect->OffsetRect,1
OffsetRect->InvalidateRgn,1
InvalidateRgn->SetForegroundWindow,1
SetActiveWindow->IsChild,1
IsChild->UnloadKeyboardLayout,1
UnloadKeyboardLayout->IsIconic,1
IsIconic->GetMenuStringA,1
GetMenuStringA->LoadMenuW,1
LoadMenuW->RegisterWindowMessageW,1
RegisterWindowMessageW->SetCursor,1
SetCursor->GetMessageW,1
GetMessageW->GetForegroundWindow,1
GetForegroundWindow->CreateDialogParamW,1
CreateDialogParamW->GetClassLongW,1
GetClassLongW->RemoveDirectoryW,1
RemoveDirectoryW->LeaveCriticalSection,1
LeaveCriticalSection->SetFileAttributesW,1
SetFileAttributesW->VirtualQuery,1
VirtualQuery->HeapCreate,1
HeapCreate->SetCurrentDirectoryA,1
SetCurrentDirectoryA->OpenEventA,1
OpenEventA->lstrlenA,1
lstrlenA->GetThreadLocale,1
GetThreadLocale->UnhandledExceptionFilter,1
UnhandledExceptionFilter->VirtualFree,1
VirtualFree->GetComputerNameA,1
GetComputerNameA->CreateEventW,1
CreateEventW->CancelIo,1
CancelIo->UnmapViewOfFile,1
FreeLibrary->GetDateFormatA,1
GetTimeFormatA->VerifyVersionInfoW,1
VerifyVersionInfoW->GlobalReAlloc,1
GlobalReAlloc->CreateMailslotW,1
CreateMailslotW->SetCommTimeouts,1
SetCommTimeouts->GetSystemTime,1
GetSystemTime->GetSystemDirectoryW,1
GetSystemDirectoryW->IsBadReadPtr,1
IsBadReadPtr->HeapAlloc,1
HeapAlloc->EnumResourceTypesA,1
EnumResourceTypesA->LoadLibraryExA,1
LoadLibraryExA->CompareStringA,1
CompareStringA->SetErrorMode,1
SetErrorMode->CreateRemoteThread,1
CreateRemoteThread->GlobalFlags,1
GlobalFlags->WaitForSingleObject,1
WaitForSingleObject->GetNumberFormatW,1
GetNumberFormatW->WideCharToMultiByte,1
WideCharToMultiByte->GetSystemDefaultUILanguage,1
GetSystemDefaultUILanguage->GetWindowsDirectoryW,1
GetWindowsDirectoryW->AddAtomA,1
AddAtomA->ClearCommError,1
ClearCommError->lstrcmpiA,1
lstrcmpiA->SetThreadContext,1
SetThreadContext->CreateWaitableTimerA,1
CreateWaitableTimerA->lstrcmpiW,1
lstrcmpiW->CreateFileW,1
CreateFileW->SizeofResource,1
SizeofResource->LoadLibraryW,1
LoadLibraryW->GetACP,1
GetACP->LockFile,1
LockFile->ChooseFontW,1
ChooseFontW->PrintDlgW,1
GetOpenFileNameW->FindTextW,1
FindTextW->_controlfp,1
__p__fmode->fgetc,1
fgetc->__p__commode,1
__p__commode->mbstowcs,1
mbstowcs->_amsg_exit,1
_amsg_exit->fseek,1
fseek->_initterm,1
_initterm->wcstok,1
wcstok->isalnum,1
isalnum->time,1
time->wcscat,1
wcscat->strcpy,1
strcpy->strcoll,1
strcoll->wcstombs,1
wcstombs->clearerr,1
clearerr->strcspn,1
strcspn->strchr,1
strchr->swscanf,1
swscanf->_ismbblead,1
_ismbblead->qsort,1
qsort->towlower,1
towlower->malloc,1
malloc->system,1
system->wcspbrk,1
wcspbrk->vswprintf,1
vswprintf->_XcptFilter,1
_XcptFilter->vsprintf,1
vsprintf->fputc,1
fputc->localtime,1
localtime->fflush,1
fflush->wcschr,1
_exit->calloc,1
calloc->setvbuf,1
setvbuf->isprint,1
isprint->ungetc,1
ungetc->wcstoul,1
wcstoul->_cexit,1
_cexit->bsearch,1
bsearch->__setusermatherr,1
__getmainargs->putchar,1
putchar->InitCommonControlsEx,1
InitCommonControlsEx->ImageList_LoadImageW,1
ImageList_LoadImageW->CreatePropertySheetPageW,1
CreatePropertySheetPageW->ImageList_ReplaceIcon,1
ImageList_ReplaceIcon->ImageList_GetIconSize,1
ImageList_GetIconSize->ImageList_GetIcon,1
ImageList_GetIcon->EnumFontFamiliesExW,1
EnumFontFamiliesExW->SetDIBColorTable,1
SetDIBColorTable->ExtTextOutW,1
ExtTextOutW->CreateICW,1
CreateICW->CombineRgn,1
CombineRgn->DeleteDC,1
GetDeviceCaps->GetBitmapBits,1
GetBitmapBits->SaveDC,1
SaveDC->BeginPath,1
BeginPath->GetTextExtentPoint32A,1
GetTextExtentPoint32A->CreatePolygonRgn,1
CreatePolygonRgn->CreateDIBitmap,1
CreateDIBitmap->DeleteObject,1
DeleteObject->GetPixel,1
GetPixel->CreateBrushIndirect,1
CreateBrushIndirect->GetTextMetricsA,1
GetTextMetricsA->CreateBitmap,1
CreateBitmap->SetBitmapDimensionEx,1
SetBitmapDimensionEx->CreateFontIndirectA,1
CreateFontIndirectA->SelectPalette,1
SelectPalette->RoundRect,1
RoundRect->CreateSolidBrush,1
CreateSolidBrush->GetCurrentObject,1
GetCurrentObject->CreateRectRgn,1
CreateRectRgn->SetAbortProc,1
SelectClipRgn->CreateFontW,1
CreateFontW->EnumFontsW,1
EnumFontsW->GetFontData,1
GetFontData->MoveToEx,1
MoveToEx->GetPaletteEntries,1
GetPaletteEntries->TextOutW,1
TextOutW->SetBitmapBits,1
SetBitmapBits->PatBlt,1
PatBlt->OffsetViewportOrgEx,1
OffsetViewportOrgEx->FillRgn,1
FillRgn->CreateEllipticRgnIndirect,1
CreateEllipticRgnIndirect->GetTextExtentPointW,1
GetTextExtentPointW->ResizePalette,1
ResizePalette->SetBrushOrgEx,1
SetBrushOrgEx->OffsetRgn,1
OffsetRgn->TextOutA,1
RealizePalette->PathFindExtensionA,1
ResetEvent->GetDiskFreeSpaceW,1
GetDiskFreeSpaceW->GetSystemTime,1
GetSystemTime->LocalFree,1
LocalFree->LoadLibraryA,1
LoadLibraryA->GetComputerNameW,1
CloseHandle->ExitProcess,1
ExitProcess->GetFileAttributesA,1
GetFileAttributesA->ResumeThread,1
ResumeThread->GetPrivateProfileIntA,1
GetPrivateProfileIntA->lstrlenA,1
lstrlenA->FindAtomW,1
FindAtomW->CreateFileA,1
CreateFileA->GetCommandLineW,1
GetTickCount->CloseWindow,1
DrawStateA->DispatchMessageA,1
GetDlgItem->GetClientRect,1
GetClientRect->GetCaretPos,1
GetCaretPos->GetClassInfoA,1
CallWindowProcA->DestroyCaret,1
GetMenu->FillRect,1
CreateWindowExA->EndDialog,1
EndDialog->DwEnumEntryDetails,1
RasDialA->DwRasUninitialize,1
DwRasUninitialize->DwCloneEntry,1
GetCPInfo->CreateFileW,1
CreateFileW->ExitProcess,1
ExitProcess->VirtualAlloc,1
VirtualAlloc->GetCurrentProcessId,1
GetComputerNameW->GlobalDeleteAtom,1
GlobalDeleteAtom->FreeLibrary,1
GetModuleHandleW->LocalUnlock,1
LocalUnlock->LocalLock,1
LocalLock->GlobalUnlock,1
GlobalUnlock->WideCharToMultiByte,1
WideCharToMultiByte->GlobalAddAtomW,1
GlobalAddAtomW->GetPrivateProfileIntW,1
GetPrivateProfileIntW->GlobalLock,1
GlobalLock->GetPrivateProfileStringW,1
GetPrivateProfileStringW->lstrlenW,1
lstrlenW->lstrcpyW,1
lstrcpyW->GetLastError,1
GetLastError->WritePrivateProfileStringW,1
WritePrivateProfileStringW->LoadLibraryA,1
GetACP->IsDBCSLeadByte,1
IsDBCSLeadByte->LocalFree,1
LocalAlloc->GlobalFree,1
GlobalFree->GetModuleHandleA,1
GetModuleHandleA->GlobalAlloc,1
GlobalAlloc->GetCommandLineA,1
GetVersion->GetSystemDirectoryW,1
GetSystemDirectoryW->TerminateProcess,1
HeapAlloc->LCMapStringA,1
GetStringTypeW->ReadFile,1
SetFilePointer->SetStdHandle,1
CloseHandle->GlobalSize,1
GlobalSize->GetStartupInfoA,1
GetStartupInfoA->wsprintfW,1
wsprintfW->GetMenu,1
GetMenu->EndPaint,1
EndPaint->SetFocus,1
SetFocus->DdeUninitialize,1
DdeFreeStringHandle->DispatchMessageW,1
TranslateMessage->TranslateAcceleratorW,1
TranslateAcceleratorW->GetMessageW,1
GetMessageW->RegisterClassW,1
RegisterClassW->LoadCursorW,1
LoadCursorW->LoadIconW,1
LoadIconW->MessageBoxW,1
MessageBoxW->SendMessageW,1
FindWindowW->SetWindowPos,1
SetWindowPos->AppendMenuW,1
GetSystemMenu->ShowWindow,1
UpdateWindow->SetWindowPlacement,1
SetWindowPlacement->GetSysColor,1
GetSysColor->CreateWindowExW,1
CreateWindowExW->RegisterClipboardFormatW,1
RegisterClipboardFormatW->DdeGetLastError,1
DdeGetLastError->DdeNameService,1
DdeInitializeW->MessageBeep,1
LoadStringW->LoadAcceleratorsW,1
LoadAcceleratorsW->GetSystemMetrics,1
GetSystemMetrics->DefWindowProcW,1
DefWindowProcW->WinHelpW,1
WinHelpW->CallWindowProcW,1
CallWindowProcW->CharNextW,1
CharNextW->GetClientRect,1
IsIconic->SendDlgItemMessageW,1
SendDlgItemMessageW->DdeConnect,1
DdeConnect->CharUpperW,1
CharUpperW->DrawIcon,1
BeginPaint->SetWindowTextW,1
SetWindowTextW->DdeClientTransaction,1
DdeClientTransaction->DdeKeepStringHandle,1
DdeKeepStringHandle->FlashWindow,1
FlashWindow->KillTimer,1
KillTimer->InvalidateRect,1
InvalidateRect->CheckMenuItem,1
CheckMenuItem->IsClipboardFormatAvailable,1
IsClipboardFormatAvailable->EnableMenuItem,1
EnableMenuItem->DdePostAdvise,1
DdePostAdvise->DialogBoxParamW,1
GetDesktopWindow->DdeDisconnect,1
DdeDisconnect->PostMessageW,1
PostMessageW->SetTimer,1
SetTimer->DdeQueryStringW,1
DdeQueryStringW->DdeGetData,1
DdeGetData->PostQuitMessage,1
PostQuitMessage->GetWindowPlacement,1
GetWindowPlacement->DdeAbandonTransaction,1
DdeAbandonTransaction->MoveWindow,1
GetWindowLongW->CheckDlgButton,1
CheckDlgButton->DdeCmpStringHandles,1
DdeCmpStringHandles->DdeAddData,1
DdeCreateDataHandle->CloseClipboard,1
OpenClipboard->EndDialog,1
EndDialog->SetTextColor,1
SetTextColor->TranslateCharsetInfo,1
TranslateCharsetInfo->CreatePen,1
CreatePen->DeleteObject,1
BitBlt->LineTo,1
LineTo->DeleteDC,1
CreateCompatibleBitmap->SetBkColor,1
MoveToEx->GetStockObject,1
GetStockObject->GetNearestColor,1
GetNearestColor->CreateFontIndirectW,1
CreateFontIndirectW->ChooseColorW,1
ChooseColorW->ChooseFontW,1
RegOpenKeyExA->RegOpenKeyExW,1
RegSetValueExW->ShellAboutW,1
ShellAboutW->CreateToolbarEx,1
CreateToolbarEx->CreateStatusWindowW,1
HeapSize->CreateFileW,1
WideCharToMultiByte->AcquireSRWLockExclusive,1
AcquireSRWLockExclusive->GetCurrentThreadId,1
GetFileAttributesExW->CreateFile2,1
CreateFile2->AreFileApisANSI,1
ReleaseSRWLockExclusive->WakeAllConditionVariable,1
WakeAllConditionVariable->GetCurrentProcessId,1
InitializeSListHead->SetUnhandledExceptionFilter,1
FlsFree->EncodePointer,1
FreeLibrary->FreeLibraryAndExitThread,1
GetModuleHandleExW->IsProcessorFeaturePresent,1
IsProcessorFeaturePresent->GetCPInfo,1
TerminateProcess->RtlCaptureContext,1
UnhandledExceptionFilter->HeapAlloc,1
LoadLibraryExW->GetDateFormatW,1
LCMapStringW->GetLastInputInfo,1
InternetQueryOptionW->InternetCrackUrlW,1
InternetCrackUrlW->InternetReadFile,1
InternetReadFile->HttpSendRequestW,1
HttpSendRequestW->InternetCanonicalizeUrlA,1
InternetCanonicalizeUrlA->InternetCrackUrlA,1
InternetCrackUrlA->InternetConnectW,1
HttpAddRequestHeadersW->HttpOpenRequestW,1
HttpOpenRequestW->InternetOpenW,1
InternetOpenW->InternetCloseHandle,1
InternetCloseHandle->getsockname,1
ntohl->WSASetEvent,1
htons->WSAGetOverlappedResult,1
recv->WSACloseEvent,1
WSACloseEvent->WSAWaitForMultipleEvents,1
WSAWaitForMultipleEvents->WSARecv,1
WSARecv->__WSAFDIsSet,1
__WSAFDIsSet->WSACreateEvent,1
WSACreateEvent->WSAEventSelect,1
WSAEventSelect->connect,1
closesocket->MapFileAndCheckSumW,1
MapFileAndCheckSumW->GetFullPathNameA,1
IsProcessorFeaturePresent->GetDriveTypeA,1
GetCurrentDirectoryA->LoadLibraryExA,1
LoadLibraryExA->SetEndOfFile,1
CloseHandle->SizeofResource,1
lstrlenW->LockResource,1
LockResource->DeleteFileW,1
FindResourceW->GetTempPathW,1
LoadResource->GetTempFileNameW,1
GetTempFileNameW->CreateProcessW,1
InterlockedDecrement->MultiByteToWideChar,1
ReadFile->LoadLibraryW,1
lstrlenA->InterlockedCompareExchange,1
InterlockedCompareExchange->InterlockedExchangeAdd,1
InterlockedExchangeAdd->CreateThread,1
CreateMutexW->WaitForMultipleObjects,1
WaitForMultipleObjects->LeaveCriticalSection,1
EnterCriticalSection->VirtualQuery,1
VirtualQuery->LoadLibraryExW,1
Sleep->FlushInstructionCache,1
MulDiv->GetCurrentThreadId,1
GetCurrentThreadId->lstrcmpW,1
GlobalUnlock->ResumeThread,1
IsDebuggerPresent->HeapAlloc,1
GetSystemInfo->HeapReAlloc,1
LoadLibraryA->RtlUnwind,1
RtlUnwind->GetVersionExW,1
GetVersionExW->GetConsoleCP,1
GetVolumeInformationW->GetFileSize,1
DeviceIoControl->GetVersion,1
GetVersion->SetFilePointer,1
SetFilePointer->GetWindowLongW,1
SetWindowLongW->InvalidateRgn,1
InvalidateRgn->SetWindowTextW,1
GetDlgItem->GetWindowTextLengthW,1
GetWindowTextLengthW->IsWindow,1
IsWindow->GetWindowTextW,1
GetWindowTextW->GetClassInfoExW,1
GetClassInfoExW->BeginPaint,1
BeginPaint->SetCapture,1
SetCapture->MoveWindow,1
DestroyAcceleratorTable->CallWindowProcW,1
SetWindowPos->RegisterClassExW,1
RegisterClassExW->GetSysColor,1
GetSysColor->GetDesktopWindow,1
SendMessageW->InvalidateRect,1
MessageBoxW->ClientToScreen,1
RegisterWindowMessageW->CreateWindowExW,1
ReleaseCapture->ScreenToClient,1
ScreenToClient->RedrawWindow,1
RedrawWindow->GetClassNameW,1
GetClassNameW->GetClientRect,1
ReleaseDC->CreateAcceleratorTableW,1
CreateAcceleratorTableW->FillRect,1
FillRect->SetFocus,1
SetFocus->GetWindow,1
GetWindow->CharNextW,1
LoadCursorW->IsChild,1
IsChild->EndPaint,1
EndPaint->DefWindowProcW,1
UnregisterClassA->DeleteObject,1
BitBlt->SelectObject,1
SelectObject->CreateCompatibleBitmap,1
GetDeviceCaps->GetStockObject,1
GetStockObject->GetObjectW,1
GetObjectW->RegQueryValueExW,1
RegDeleteKeyW->CoUninitialize,1
CLSIDFromString->OleUninitialize,1
OleUninitialize->CoSetProxyBlanket,1
CoSetProxyBlanket->OleInitialize,1
CoGetClassObject->SysFreeString,1
SysFreeString->VarBstrCmp,1
VariantClear->VarUI4FromStr,1
StartPage->GetTextFaceW,1
GetTextFaceW->GetCurrentObject,1
GetCurrentObject->BeginPath,1
BeginPath->CreateRectRgn,1
CreateRectRgn->CreateFontA,1
MoveToEx->CreateBitmap,1
CreateBitmap->ExtTextOutA,1
ExtTextOutA->SetTextColor,1
SetTextColor->StartDocW,1
StartDocW->RemoveFontResourceExA,1
RemoveFontResourceExA->PtVisible,1
PtVisible->RemoveFontResourceW,1
RemoveFontResourceW->ExtTextOutW,1
SaveDC->GetROP2,1
GetROP2->GetNearestPaletteIndex,1
GetNearestPaletteIndex->CreateFontIndirectA,1
DeleteObject->CreateHatchBrush,1
CreateHatchBrush->SetDIBits,1
SetDIBits->CreateDiscardableBitmap,1
CreateDiscardableBitmap->EndPath,1
EndPath->SetViewportOrgEx,1
SetViewportOrgEx->ScaleWindowExtEx,1
ScaleWindowExtEx->GetObjectA,1
GetObjectA->CreateEllipticRgnIndirect,1
CreateEllipticRgnIndirect->Ellipse,1
Ellipse->GetObjectW,1
GetObjectW->RoundRect,1
RoundRect->SetDIBitsToDevice,1
SetDIBitsToDevice->StretchDIBits,1
StretchDIBits->SetBitmapBits,1
SetBitmapBits->ChooseFontW,1
ChooseFontW->GetOpenFileNameA,1
GetOpenFileNameW->ReplaceTextW,1
ReplaceTextW->PrintDlgW,1
PrintDlgW->GetSaveFileNameW,1
GetSaveFileNameW->PrintDlgExW,1
PrintDlgExW->ImageList_Create,1
CreateToolbarEx->ImageList_Destroy,1
ImageList_Destroy->ImageList_SetIconSize,1
ImageList_SetIconSize->ImageList_Remove,1
ImageList_Remove->PropertySheetW,1
PropertySheetW->I_RpcAllocate,1
I_RpcAllocate->I_RpcFree,1
I_RpcFree->wvsprintfA,1
wvsprintfA->ScrollWindow,1
ScrollWindow->SetWindowPlacement,1
SetWindowPlacement->PeekMessageA,1
PeekMessageA->ShowCursor,1
ShowCursor->WindowFromPoint,1
WindowFromPoint->GetKeyboardLayoutList,1
GetKeyboardLayoutList->MonitorFromPoint,1
MonitorFromPoint->GetWindowLongA,1
GetWindowLongA->EnableMenuItem,1
EnableMenuItem->AppendMenuA,1
AppendMenuA->CreateWindowExA,1
CreateWindowExA->SetCaretPos,1
SetCaretPos->DefFrameProcW,1
DefFrameProcW->GetFocus,1
GetFocus->LoadMenuW,1
LoadMenuW->GetKeyState,1
GetKeyState->GetClipCursor,1
GetClipCursor->SetCursorPos,1
SetCursorPos->GetParent,1
GetParent->CharUpperW,1
CharUpperW->CopyImage,1
CopyImage->GetKeyboardLayoutNameW,1
GetKeyboardLayoutNameW->ValidateRect,1
ValidateRect->FillRect,1
FillRect->RegisterClassExW,1
RegisterClassExW->GetKeyboardType,1
GetKeyboardType->MapDialogRect,1
MapDialogRect->CharToOemA,1
CharToOemA->ScreenToClient,1
ScreenToClient->LoadAcceleratorsA,1
LoadAcceleratorsA->GetClassNameW,1
GetClassNameW->InvertRect,1
InvertRect->MapVirtualKeyW,1
MapVirtualKeyW->IsIconic,1
IsIconic->IsDialogMessageW,1
IsDialogMessageW->CharToOemW,1
CharToOemW->RemovePropW,1
RemovePropW->IsCharAlphaNumericW,1
IsCharAlphaNumericW->AllowSetForegroundWindow,1
AllowSetForegroundWindow->ShowScrollBar,1
ShowScrollBar->SetFocus,1
SetFocus->DrawTextExW,1
DrawTextExW->GetUserObjectInformationW,1
GetUserObjectInformationW->ScrollWindowEx,1
ScrollWindowEx->LoadImageW,1
LoadImageW->CascadeWindows,1
CascadeWindows->OpenInputDesktop,1
OpenInputDesktop->OpenIcon,1
OpenIcon->WaitForInputIdle,1
WaitForInputIdle->GetIconInfo,1
GetIconInfo->keybd_event,1
keybd_event->GetMessageTime,1
GetMessageTime->ChangeMenuW,1
ChangeMenuW->GetMenuState,1
GetMenuState->RegisterClassW,1
RegisterClassW->SystemParametersInfoA,1
SystemParametersInfoA->SetParent,1
SetParent->DrawStateA,1
DrawStateA->GetUpdateRgn,1
GetUpdateRgn->BeginPaint,1
BeginPaint->GetKeyboardLayout,1
GetKeyboardLayout->GetDCEx,1
GetDCEx->SetMenuItemBitmaps,1
SetMenuItemBitmaps->GetActiveWindow,1
GetActiveWindow->IsRectEmpty,1
IsRectEmpty->GetTopWindow,1
GetTopWindow->InsertMenuA,1
InsertMenuA->GetMessageExtraInfo,1
GetMessageExtraInfo->CallWindowProcW,1
CallWindowProcW->SetMenuItemInfoW,1
SetMenuItemInfoW->DefWindowProcW,1
DefWindowProcW->IsCharUpperA,1
IsCharUpperA->TrackPopupMenuEx,1
TrackPopupMenuEx->CopyRect,1
CopyRect->GetShellWindow,1
GetShellWindow->DrawFocusRect,1
DrawFocusRect->mouse_event,1
mouse_event->ShowWindowAsync,1
ShowWindowAsync->GetWindowTextW,1
GetWindowTextW->SwitchToThisWindow,1
SwitchToThisWindow->FindWindowExW,1
FindWindowExW->DefineDosDeviceW,1
DefineDosDeviceW->MoveFileW,1
MoveFileW->GetSystemDirectoryA,1
WideCharToMultiByte->CreateMutexA,1
CreateMutexA->FindResourceA,1
FindResourceA->GetTimeFormatW,1
GetTimeFormatW->lstrcpynW,1
lstrcpynW->FreeLibrary,1
FreeLibrary->GlobalLock,1
VirtualAlloc->GetStartupInfoA,1
GetStartupInfoA->CreateMutexW,1
CreateMutexW->GetProfileIntA,1
GetProfileIntA->CompareStringA,1
CompareStringA->LoadLibraryW,1
LoadLibraryW->GetTimeZoneInformation,1
GetDateFormatW->LoadResource,1
LoadResource->IsBadCodePtr,1
IsBadCodePtr->LocalSize,1
LocalSize->GetComputerNameA,1
GetComputerNameA->GetACP,1
GetACP->lstrcmpiA,1
lstrcmpiA->CompareFileTime,1
CompareFileTime->GetTempPathA,1
GetTempPathA->SetMailslotInfo,1
SetMailslotInfo->GetCommandLineA,1
RemoveDirectoryA->GetOEMCP,1
GetOEMCP->FormatMessageW,1
FormatMessageW->LoadLibraryExA,1
LoadLibraryExA->ExitThread,1
ExitThread->IsBadWritePtr,1
IsBadWritePtr->ReleaseMutex,1
ReleaseMutex->VerifyVersionInfoW,1
VerifyVersionInfoW->GetLocaleInfoW,1
GetLocaleInfoW->SetCurrentDirectoryW,1
SetCurrentDirectoryW->CompareStringW,1
CompareStringW->VerSetConditionMask,1
CreateFileA->GetCurrentThread,1
GetCurrentThread->FindClose,1
HeapAlloc->lstrcatA,1
lstrcatA->HeapCreate,1
HeapCreate->GlobalLock,1
GlobalLock->HeapLock,1
HeapLock->LocalSize,1
LocalSize->SetFilePointer,1
SetFilePointer->VirtualQuery,1
VirtualAlloc->PulseEvent,1
PulseEvent->OpenMutexA,1
OpenMutexA->GetCurrentProcess,1
GetCurrentProcess->GetSystemTime,1
GetSystemTime->VirtualProtect,1
RtlUnwind->LockFile,1
LockFile->ReadFile,1
ReadFile->UnlockFile,1
UnlockFile->WriteFile,1
CloseHandle->VirtualProtectEx,1
VirtualProtectEx->GetSystemInfo,1
TerminateProcess->GetStdHandle,1
BeginPaint->DestroyWindow,1
DestroyWindow->wsprintfA,1
wsprintfA->GetSysColorBrush,1
GetWindow->CreateBrushIndirect,1
CreateBrushIndirect->CreateDIBPatternBrush,1
CreateDIBPatternBrush->SelectObject,1
SelectObject->ConvertSidToStringSidW,1
ConvertStringSidToSidW->ICOpen,1
ICOpen->DrawDibTime,1
VirtualAlloc->GetTickCount,1
GetTickCount->InterlockedIncrement,1
DebugBreak->LoadLibraryA,1
SetFocus->LoadStringA,1
LoadStringA->GetActiveWindow,1
FreeEnvironmentStringsA->GetACP,1
GetACP->LocalFree,1
GetModuleHandleA->CreateFileMappingA,1
CreateFileMappingA->WaitForMultipleObjects,1
WaitForMultipleObjects->LocalLock,1
GetConsoleAliasA->GlobalUnlock,1
GetConsoleCP->HeapCreate,1
FindAtomA->GetCalendarInfoA,1
GetCalendarInfoA->GetLastError,1
CloseHandle->DispatchMessageA,1
GetMessageA->GetIconInfo,1
GetIconInfo->GetDlgItem,1
GetDlgItem->DrawTextA,1
DrawTextA->IsWindow,1
SetFocus->CreateDialogParamA,1
CreateDialogParamA->DrawEdge,1
GetDC->DefWindowProcA,1
DefWindowProcA->CascadeWindows,1
CallWindowProcA->ASN1BERDecEoid,1
ASN1BEREncLength->ASN1BERDecNull,1
ASN1BERDecSkip->ASN1BERDecCheck,1
VirtualProtect->GetProcAddress,1
GetCurrentProcess->HeapLock,1
HeapLock->GetModuleHandleA,1
IsBadCodePtr->Sleep,1
lstrcpyA->GetProcessHeap,1
GetProcessHeap->VirtualLock,1
VirtualLock->GetTickCount,1
GetSystemTimeAsFileTime->GetStartupInfoA,1
GetCurrentProcessId->GetClientRect,1
GetClientRect->GetTopWindow,1
GetTopWindow->IsWindowUnicode,1
IsWindowUnicode->CoInitialize,1
CoInitialize->GetProcessMemoryInfo,1
GetProcessMemoryInfo->GdipCreateSolidFill,1
GdipCloneBrush->GdipFree,1
GdipAlloc->GdipDrawLineI,1
GdipDrawLineI->GdipCreateFontFamilyFromName,1
GdipDeleteFontFamily->joyGetPos,1
__WSAFDIsSet->recv,1
recv->send,1
ntohs->recvfrom,1
WSAStartup->htons,1
htons->accept,1
connect->WSACleanup,1
WSACleanup->inet_addr,1
inet_addr->sendto,1
sendto->WSAGetLastError,1
WSAGetLastError->inet_ntoa,1
inet_ntoa->gethostbyname,1
gethostname->socket,1
socket->GetFileVersionInfoW,1
GetFileVersionInfoSizeW->timeGetTime,1
timeGetTime->waveOutSetVolume,1
waveOutSetVolume->mciSendStringW,1
mciSendStringW->ImageList_Destroy,1
ImageList_Destroy->ImageList_Remove,1
ImageList_Remove->ImageList_SetDragCursorImage,1
ImageList_BeginDrag->ImageList_DragEnter,1
ImageList_DragEnter->ImageList_DragLeave,1
ImageList_DragLeave->ImageList_EndDrag,1
ImageList_DragMove->ImageList_Create,1
ImageList_Create->InitCommonControlsEx,1
InitCommonControlsEx->ImageList_ReplaceIcon,1
ImageList_ReplaceIcon->WNetUseConnectionW,1
WNetUseConnectionW->WNetCancelConnection2W,1
WNetCancelConnection2W->WNetGetConnectionW,1
WNetGetConnectionW->WNetAddConnection2W,1
WNetAddConnection2W->InternetReadFile,1
InternetCloseHandle->InternetOpenW,1
InternetOpenW->InternetSetOptionW,1
